Gender	Sport	Bodyfat	Height	Weight
male	Field	13.97	185.1	102.7
male	Field	11.66	185.5	94.25
male	Field	6.43	184.9	79
male	T400m	6.99	175	66.6
male	T400m	6	185.4	71.8
male	T400m	6.56	181	74.8
male	T400m	6.03	176	68.2
male	T400m	6.33	176.2	62.3
male	T400m	6.82	174	61
male	T400m	6.2	191	77.5
male	T400m	5.93	171	57.4
male	TSprnt	5.8	174	71.4
male	TSprnt	6.56	180.2	70.3
male	TSprnt	6.76	178.5	80.2
male	Field	7.22	190.3	84.2
male	Field	8.51	185	111.3
male	Field	7.72	189	80.7
male	Field	19.94	180.1	97.9
male	Field	13.91	189.2	123.2
male	TSprnt	6.1	182.6	72.9
male	TSprnt	7.52	186	83
male	TSprnt	9.56	174.9	75.9
male	T400m	6.06	180.6	70.7
male	T400m	7.35	178.6	67.1
male	T400m	6	173	69.2
male	T400m	6.92	179.7	67.05
male	TSprnt	6.33	174.6	70.5
male	TSprnt	5.9	178	70.8
male	T400m	8.84	178.5	71
male	TSprnt	8.94	171.3	69.1
male	T400m	6.53	178	62.9
male	TSprnt	9.4	189.1	94.8
male	Field	8.18	195.4	94.6
male	Field	17.41	179.1	108.2
male	Field	18.08	180.1	97.9
male	Field	9.86	179.6	75.2
male	TSprnt	7.29	174.7	74.8
male	WPolo	18.72	192.7	94.2
male	WPolo	10.12	179.3	76.1
male	WPolo	19.17	197.5	94.7
male	WPolo	17.24	182.7	86.2
male	WPolo	9.89	190.5	79.6
male	WPolo	13.06	191	85.3
male	WPolo	8.84	179.6	74.4
male	WPolo	8.87	192.6	93.5
male	WPolo	14.69	194.1	87.6
male	WPolo	8.64	193	85.4
male	WPolo	14.98	193.9	101
male	WPolo	7.82	187.7	74.9
male	WPolo	8.97	185.3	87.3
male	WPolo	11.63	191.5	90
male	WPolo	13.49	184.6	94.7
male	WPolo	10.25	179.9	76.3
male	WPolo	11.79	183.9	93.2
male	Tennis	10.05	183.5	80
male	Tennis	8.51	183.1	73.8
male	Tennis	11.5	178.4	71.1
male	Tennis	6.26	190.8	76.7
